iso,Trade,Output,Welfare
MNG,-10.534276088170316,-3.2379123397299026,-5.77302931819834
MOZ,0.43790430573108097,-0.07138643793031463,-0.12892880394717565
MRT,0.0277419307142992,-0.21787516169052878,-0.3932649069560199
MWI,-1.743343949484668,-0.18519689949604867,-0.3343247126051381
MYS,0.2628944124299011,-0.1894547323978486,-0.34200524100531027
NAM,0.5848371248874997,-0.03722617694739938,-0.06724229501850232
NER,0.16839961470468268,-0.044417142686214106,-0.08022913505625695
NGA,0.13748075986751473,-0.052623188682744626,-0.09504828317700742
NIC,-0.15733643536179898,-0.17739776279707087,-0.32025548761266975
NLD,-0.36362406224600363,-0.5882077194252275,-1.0601276562088913
NOR,-0.0313958390761826,-0.1283129690090874,-0.23168879832667244
NPL,-0.0396897952885098,-0.05720952954887082,-0.10333024461367302
NZL,-0.2394643559245111,-0.0857863761953439,-0.15492707899331037
OMN,0.4974359532766073,-0.04955503578381126,-0.08950767693313821
PAK,-0.42207083018638514,-0.06625670529676597,-0.11966663145153689
PAN,-0.171209392585709,-0.052397751261594294,-0.09464118297789526
PER,0.0076153397895240005,-0.06497299855013239,-0.11734872876253633
PHL,-0.09797549013492812,-0.09260570466288698,-0.1672379368554715
PLW,0.09785248077771769,-0.049527232619240635,-0.08945746812131006
PNG,0.6552302080626049,-0.007023547588431711,-0.012688302540496466
POL,-1.9416702112125392,-0.6511661239688493,-1.1732987496286995
PRT,-0.15001595891392583,-0.14759724028063204,-0.26648877426205786
PRY,-5.178943537506171,-0.43890625225388646,-0.7915191529082222
QAT,0.4030485682148566,-0.06452436881394874,-0.11653866264391866
ROU,-1.244310525122728,-0.3657504413653925,-0.6597857416803237
RUS,-99.9999975448985,-5.338862538093608,-9.436729982567556
RWA,-0.11149616196784962,-0.08293806433299267,-0.1497848525961274
SAU,0.45301444563752113,-0.04865339428145887,-0.08787942673735927
SDN,-1.1416151766350566,-0.1866574683114237,-0.3369594019682438
SEN,-1.1609127291499703,-0.2508483558078467,-0.4527212770309319
SGP,-0.04392353522152348,-0.2936206038210827,-0.5298234191379692
SLB,0.6635575749208726,-0.00519407140882322,-0.00938335433635018
SLE,0.8112425090601789,-0.02209460959281273,-0.03991231599613343
SLV,0.0260400348861225,-0.06964184957277553,-0.12577884298356423
SVK,-0.9701457155919968,-1.244798498541428,-2.2375402249344063
SVN,-0.527372464637466,-0.5552816463928849,-1.0009182531340173
SWE,-0.647654519115278,-0.22956053189938075,-0.4143374630706518
TCD,-0.37677303581156707,-0.0720985842655466,-0.13021461495543463
TGO,0.41531904671803943,-0.10862046125808433,-0.19614653407037963
THA,-0.11154795397270334,-0.16219281298965882,-0.29282402303853416
TJK,-9.035343046058102,-1.9883423504366675,-3.563275018726415
TLS,0.10908464656280614,-0.04377057521494976,-0.07906146899902922
TON,-0.14306122791168718,-0.06397510654512928,-0.11554688588439888
TUN,-0.5057540599759704,-0.326504197991369,-0.5890819323183507
TUR,-5.295352066964114,-0.6831148690607876,-1.2307062051820594
TUV,-0.046860199127578994,-0.10086653186407091,-0.18215020855664932
TZA,-0.20815664407997758,-0.05883370385724618,-0.10626308634603276
UGA,-0.04733182288629223,-0.06534396733466963,-0.11801856454295034
UKR,-7.2318740847226906,-1.3649900368787797,-2.452388611269626
URY,-0.312367540141949,-0.0684314327911153,-0.12359333540200623
USA,-0.5152807713819527,-0.05994101229045157,-0.10826257899351788
UZB,-9.126265499026658,-1.2698130960162075,-2.282272459081696
VEN,1.7459981635844741,-0.012557611903105226,-0.022685291262931173
VUT,0.9199847645026438,0.0064559316721641835,0.011663517102306287
YEM,-0.9655960834704871,-0.11791528852246813,-0.21292312141461878
ZAF,0.09992911889023048,-0.08982660293426648,-0.16222093722545594
ZMB,0.46137219793865825,-0.04239806738777929,-0.0765827735341702
ZWE,0.3221765444476432,-0.03660812388838508,-0.0661260598159572
