iso,Bloc,Eastern,Western,Neutral,Trade,Output,Welfare
GTM,Western,-47.593696921993384,3.1684048215735316,2.947684248940959,-2.583832812039887,-0.32491624831314425,-0.5862206993656116
HKG,Eastern,18.851788469293155,-50.48738205089313,-21.49858180455358,-12.572336825064397,-3.6755562342702888,-6.541552619295118
HND,Western,-50.676232111123596,2.6889118081347476,3.234525910917256,-2.875153068064762,-0.74792298776228,-1.3471116406131216
HRV,Western,-44.02706168324662,1.9244787104024255,2.157462667095686,0.06915563060623242,-0.13233043942236122,-0.23893908492480875
HTI,Western,-35.48113329823016,2.8524212502346558,10.493279380438082,-2.462731807628714,-0.2263673197217031,-0.4085792515736131
HUN,Western,-48.71180040064731,2.9132968764800466,3.1682477620748983,-1.586786506940328,-1.1545361112063546,-2.076052951602776
IDN,Neutral,-27.79074138153358,2.44288263642828,2.7682013493026716,-5.135882614215333,-0.35018854634351726,-0.6317530001389144
IND,Neutral,-25.571849240778988,3.4741672983554963,3.1707454556281505,-1.713690272710906,-0.148478248033868,-0.2680784921911368
IRL,Western,-62.94596659260622,3.0063120090607214,2.8265264620249724,-1.543783241480483,-0.43650741944966853,-0.7872007551909377
IRQ,Neutral,2.0234142580900567,1.0820031537746218,2.0574048145167154,1.5955814824852865,0.06522733393153146,0.11786996391901994
ISR,Western,-57.91164597759502,2.4133793923177365,1.8020276602094754,-5.96015051316661,-0.387562268737085,-0.6990709845606773
ITA,Western,-52.37154584636411,2.0039320160486227,2.003072397384841,-3.795666804041119,-0.4567851212629819,-0.8237021900746697
JAM,Western,-45.95048480339429,3.091592466584814,3.9280820737021713,-1.2880478265080342,-0.2224426222419993,-0.40150177375220153
JPN,Western,-46.82388639094123,3.2517736013798384,2.18885598028551,-11.589131018844455,-0.5768167890775402,-1.0396456730505719
KAZ,Eastern,3.547021530163363,-52.89556651819473,-22.523063352751265,-25.022953090351464,-2.1071013361981414,-3.774272953202157
KEN,Neutral,-24.113320239929777,4.303329343370294,4.5314113990789195,-0.7175802105321623,-0.10321498584431765,-0.1863894067748788
