iso,Bloc,Eastern,Western,Neutral,Trade,Output,Welfare,Trade_prod,Output_prod,Welfare_prod
ITA,Western,-52.37154584636411,2.0039320160486227,2.003072397384841,-3.795666804041119,-0.4567851212629819,-0.8237021900746697,-3.430984214810934,-0.5831252048267999,-1.0509890423071226
JPN,Western,-46.82388639094123,3.2517736013798384,2.18885598028551,-11.589131018844455,-0.5768167890775402,-1.0396456730505719,-11.575251696474325,-0.8645023674518342,-1.5563519961146426
KAZ,Eastern,3.547021530163363,-52.89556651819473,-22.523063352751265,-25.022953090351464,-2.1071013361981414,-3.774272953202157,-26.52208002653697,-3.9885274994432933,-7.089421006041846
KHM,Neutral,-22.152146746529198,2.562428253002949,5.866735926724758,-3.1793310930262777,-3.3482922035196623,-5.967126528055346,-6.146847463747207,-1.5618561563008626,-2.803840644098244
KOR,Western,-60.27150322608296,3.8427473318755005,3.1118607426887337,-18.60131033768414,-2.2039940473112267,-3.946268425282568,-20.528342746128487,-2.0933863269816015,-3.7499161687805582
LAO,Eastern,5.1862760899630445,-49.386564298780925,-26.843715558604828,-18.199283005062824,-2.6192098752126043,-4.681767017448095,-14.653018008003201,-1.993310336367756,-3.5721057261492035
LTU,Western,-37.10410985118943,3.9801689332033163,1.8510315048792307,-2.6050659331863386,-1.259610128244077,-2.26402815458097,-2.8525943009271657,-1.36080677863319,-2.4449143728261475
LVA,Western,-35.48203376689749,3.0915230481730873,0.6705408679054727,-1.0382156995804763,-0.5719608509440945,-1.0309136559976508,-0.976444441723757,-0.7481245929288178,-1.3474736591434322
MAR,Neutral,-22.673305729246962,2.1011038491988785,2.031231390700242,-0.6380928271797046,-0.2508656569765577,-0.4527524698689831,-0.33875015426274047,-0.3292765867094971,-0.5940772480506809
MEX,Neutral,-25.018808398785836,2.8561144560548826,4.7695736909219875,-0.19933633278985496,-0.34319007876601404,-0.6191450146458095,0.9432847816418928,-0.3414625795039399,-0.6160327540636388
MMR,Western,-51.02513255984936,3.5417787750556045,3.291534265644188,-16.2609489496746,-1.5301603356943048,-2.7472944503071517,-15.738939388050895,-0.7689813376467924,-1.3849225108451435
MYS,Neutral,-25.39948350338102,4.649807411365529,4.643132115861519,-3.8903295935563165,-2.486483990450921,-4.446935573113535,-5.125654755997914,-0.7274909062294057,-1.3104190676686613
NLD,Western,-42.88093367629188,2.8224030896074055,5.013714689437421,-2.441890860814624,-1.5247114994481876,-2.737572101295001,-1.9179756752141657,-1.0138460996215457,-1.8241090038548293
NOR,Western,-45.93159753048073,2.2016463892676796,1.770284859608438,-1.8986557064428524,-0.30573843360753017,-0.55166242179736,-0.7440015623145229,-0.5060810969401928,-0.9124137559953596
NZL,Western,-60.61723085529333,0.48749811438938195,1.3406136322723512,-16.343772874921612,-1.1088293787668562,-1.9942342432793794,-15.223114668949108,-1.6689046854136649,-2.9947095423848964
PER,Western,-68.15845644711985,2.407759023374851,1.0926563905578774,-19.536199200263454,-1.413175608252601,-2.538463462818484,-14.160500138907523,-1.5427261068825828,-2.769713879708263
PHL,Western,-50.26170341410255,3.9590806089344,3.33990618532097,-13.437121304280538,-1.38883095919104,-2.494980368618485,-9.296007178842771,-1.020324781784808,-1.835717204601977
POL,Western,-44.280482276567746,2.6412299241464723,2.8173298012171273,-2.28073635346162,-0.7001217824202115,-1.2612591912331936,-2.7000328710205537,-0.836939003346842,-1.5068983038378008
PRT,Western,-49.89765444905435,1.6908020044949978,1.183609281679196,-1.3182283299403252,-0.28235689316420576,-0.5095218076614572,-0.8963184429910314,-0.47099243636665733,-0.8492728856127059
ROU,Western,-49.942309850136986,2.2398743377743244,2.1005021738510834,-2.341640599978575,-0.48752391431126796,-0.8790229641706304,-2.433296373093796,-0.554481347690384,-0.999478916879994
RUS,Eastern,4.5187260538719585,-51.3791133794555,-21.95550132683819,-33.184152606563515,-2.3411199737582535,-4.189447564769324,-35.512779389267536,-3.0316295243440976,-5.4098128533696155
SAU,Neutral,-27.24505536140761,0.8018854657491801,3.1649576990184585,-4.750029248291483,-0.5086150620856955,-0.9169728462083953,-4.002962061379975,-0.9379012506820885,-1.6879888682443749
SGP,Neutral,-24.27978372498073,2.4795342715266173,3.32115400487983,-3.5239788244346784,-1.5588497956387783,-2.798477846385012,-2.810493459740229,-1.1673408052103866,-2.098968907563446
SVK,Western,-54.88481901788768,3.17895034120356,3.5287804679365706,-1.8118447037339394,-1.4434854797365944,-2.5925892114854463,-2.800024277387408,-1.2848313748396407,-2.309124433011263
SVN,Western,-45.118217171616884,2.311967988736342,2.1717451117452526,-0.7318043779423391,-0.6757682536842111,-1.2175066767642306,-1.5218470974243417,-0.8628655604971129,-1.5534155762094883
SWE,Western,-47.28197864450871,1.9441981482380157,1.5974749215445172,-2.186866061538808,-0.38251926071049525,-0.6899886484971489,-1.8865480200840494,-0.7429744196595323,-1.3382254058383296
THA,Neutral,-26.87105435132169,2.6889646683502377,3.4386393736310765,-4.797450391762766,-1.1204005489225466,-2.0149504478885234,-4.684270166847426,-0.8075317155313968,-1.4541240505500497
